,prix,kilometrage,energie,capacite,cO2,transmission,portes,CV,date
0,7200.0,120000.0,Diesel,4.0,193.0,Manuelle,2.0,9.0,2002.0
1,47000.0,1100.0,Diesel,5.0,100.0,Automatique,4.0,7.0,2020.0
2,3400.0,144500.0,Essence,4.0,106.0,Manuelle,4.0,4.0,2009.0
3,21999.0,10.0,Essence,5.0,,Manuelle,4.0,6.0,2020.0
4,1300.0,200000.0,Essence,5.0,,Manuelle,4.0,7.0,2006.0
5,1100.0,213000.0,Essence,5.0,146.0,Manuelle,4.0,4.0,1999.0
6,5000.0,94000.0,Essence,2.0,98.0,Semi automatique,2.0,4.0,2013.0
7,19000.0,45000.0,Diesel,5.0,118.0,Automatique,4.0,8.0,2017.0
8,7000.0,180000.0,Diesel,5.0,183.0,Automatique,4.0,12.0,2004.0
9,17500.0,50000.0,Essence,4.0,,Automatique,2.0,18.0,1989.0
10,11000.0,78000.0,Diesel,5.0,139.0,Manuelle,4.0,8.0,2014.0
11,32500.0,3900.0,Diesel,5.0,102.0,Automatique,4.0,6.0,2020.0
12,17000.0,40000.0,Diesel,5.0,93.0,Manuelle,4.0,6.0,2018.0
13,2100.0,198600.0,Diesel,5.0,135.0,Manuelle,4.0,6.0,2007.0
14,8600.0,87000.0,Diesel,5.0,79.0,Manuelle,4.0,3.0,2015.0
15,11000.0,6000.0,Essence,4.0,93.0,Manuelle,4.0,4.0,2020.0
16,3900.0,185500.0,Diesel,5.0,114.0,Manuelle,4.0,6.0,2010.0
17,16000.0,17500.0,Essence,5.0,103.0,Manuelle,4.0,5.0,2019.0
18,3600.0,120000.0,Essence,5.0,120.0,Manuelle,4.0,4.0,2009.0
19,20499.0,10.0,Essence,,100.0,Manuelle,4.0,5.0,2019.0
20,3700.0,111000.0,GPL ou GNL,5.0,132.0,Manuelle,4.0,4.0,2010.0
21,2800.0,174000.0,Essence,5.0,188.0,Manuelle,2.0,,2003.0
22,27900.0,74200.0,Diesel,4.0,117.0,Semi automatique,4.0,11.0,2017.0
23,7000.0,93000.0,Diesel,4.0,104.0,Manuelle,2.0,5.0,2009.0
24,51490.0,24500.0,Essence,5.0,154.0,Automatique,4.0,19.0,2019.0
25,9400.0,48000.0,Diesel,5.0,90.0,Manuelle,2.0,4.0,2014.0
26,3000.0,100000.0,Essence,5.0,0.2,Manuelle,2.0,4.0,2010.0
27,900.0,3000000.0,Essence,5.0,,Manuelle,4.0,12.0,1994.0
28,3900.0,101000.0,Essence,4.0,156.0,Semi automatique,2.0,6.0,2005.0
29,4100.0,255560.0,Essence,5.0,267.0,Automatique,4.0,12.0,2001.0
30,600.0,265200.0,Diesel,5.0,160.0,Manuelle,4.0,5.0,1998.0
